"Name","Address","City","Description","Closed","Reopened","Reason"
"FLYING CHOPSTIX","174 E CARSON ST","CARSON","RESTAURANT (31-60) SEATS HIGH RISK",04/03/2026,,"Vermin Infestation - California Health & Safety Code 114259.1"
"OLGUITAS COCINA","4640 ROSEMEAD BLVD","PICO RIVERA","RESTAURANT (61-150) SEATS HIGH RISK",04/02/2026,,"No closure reason provided"
"POLLY'S PIES","1322 W BEVERLY BLVD","MONTEBELLO","RESTAURANT (151 + ) SEATS HIGH RISK",03/26/2026,,"Vermin infestation California Health & Safety Code section 114259.1"
"CVS/PHARMACY #2289","19701 W VANOWEN ST","WINNETKA","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",03/26/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"SAMOSA HOUSE SANTA MONICA","2301 MAIN ST","SANTA MONICA","RESTAURANT (0-30) SEATS HIGH RISK",03/24/2026,,"Sewage Discharge - California Health and Safety Code Section 114190"
"COLDSTONE CREAMERY WEST LA","10875 PICO BLVD","LOS ANGELES","RESTAURANT (0-30) SEATS LOW RISK",03/23/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"BAOSHUTANG RESTAURANT","987 S GLENDORA AVE 5","WEST COVINA","RESTAURANT (0-30) SEATS HIGH RISK",03/23/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"KOREAN BBQ HOUSE","123 S ONIZUKA ST # 302","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",03/20/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"LA RAMADA RESTAURANT","6330 SANTA FE AVE","HUNTINGTON PARK","RESTAURANT (31-60) SEATS HIGH RISK",03/20/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"PARADISE BIRYANI POINTE","18158 PIONEER BLVD","ARTESIA","RESTAURANT (61-150) SEATS HIGH RISK",03/19/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"TACOS Y BURRITOS METRO B #1","1118 N HACIENDA BLVD","LA PUENTE","RESTAURANT (31-60) SEATS HIGH RISK",03/19/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"RICK'S BURGER","132 W MAIN ST","ALHAMBRA","RESTAURANT (61-150) SEATS HIGH RISK",03/17/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"A&S LIQUOR MARKET","3088 W PICO BLVD","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",03/17/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"NADC BURGER","1091 BROXTON","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK",03/11/2026,,"No Plans Submitted California Health and Safety Code Section 114380"
"BLACKCRAFT COFFEE","457 N FAIRFAX AVE","LOS ANGELES","RESTAURANT (0-30) SEATS LOW RISK",03/05/2026,,"Sewage Discharge - California Health and Safety Code Section 114190  No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095"
"SPITZ EAGLE ROCK","2506 COLORADO BLVD","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK",02/26/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"MEXICAN RIVIERA RESTAURANT","4239 PACIFIC COAST HWY","TORRANCE","RESTAURANT (31-60) SEATS HIGH RISK",02/23/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"TED'S PLACE","23401 S NORMANDIE AVE","HARBOR CITY","RESTAURANT (31-60) SEATS HIGH RISK",02/18/2026,,"VERMIN INFESTATION - CALIFORNIA HEALTH AND SAFETY CODE SECTION 114259.1"
"PAULS KITCHEN","1012 S SAN PEDRO ST","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK",02/13/2026,,"Vermin Infestation California Health and Safety Code Section 114259.1"
"LAB88","10602 LOWER AZUSA RD","EL MONTE","RESTAURANT (61-150) SEATS HIGH RISK",02/12/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"FU YI RETAIL STORE","127 S GARFIELD AVE STE #A","MONTEREY PARK","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",02/03/2026,,"Vermin Infestation California Health and Safety Code Section 114259.1"
"FACTORY TEA BAR","323 S MISSION DR","SAN GABRIEL","RESTAURANT (61-150) SEATS HIGH RISK",01/30/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"UNIVERSAL GROCERY AND DELI","5021 W SANTA MONICA BLVD","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",01/30/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"DAN'S MINI MART","11100 S VERMONT AVE BLDG 1","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/29/2026,,"Vermin Infestation-California Health and Safety Code Section 114259.1"
"COMMERCE TRUCK STOP","4560 E WASHINGTON BLVD","COMMERCE","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/29/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"MEIZHOU DONGPO","10250 SANTA MONICA BLVD #200A","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK",01/28/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"TAN-CHA","3407 W 6TH ST UNIT 101B","LOS ANGELES","RESTAURANT (0-30) SEATS MODERATE RISK",01/20/2026,,"No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095"
"A TODA MADRE BRUNCH","4809 MELROSE AVE","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK",01/07/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
